DATE,VALUE
1976-06-04,7.21
1976-06-11,7.06
1976-06-18,7.03
1976-06-25,7.00
1976-07-02,7.01
1976-07-09,6.91
1976-07-16,6.76
1976-07-23,6.90
1976-07-30,6.78
1976-08-06,6.73
1976-08-13,6.65
1976-08-20,6.60
1976-08-27,6.58
1976-09-03,6.53
1976-09-10,6.46
1976-09-17,6.42
1976-09-24,6.36
1976-10-01,6.34
1976-10-08,6.09
1976-10-15,5.80
1976-10-22,5.92
1976-10-29,6.04
1976-11-05,6.02
1976-11-12,6.04
1976-11-19,5.84
1976-11-26,5.53
1976-12-03,5.39
1976-12-10,5.39
1976-12-17,5.40
1976-12-24,5.35
1976-12-31,5.37
1977-01-07,5.53
1977-01-14,5.85
1977-01-21,6.01
1977-01-28,6.15
1977-02-04,6.18
1977-02-11,6.03
1977-02-18,6.03
1977-02-25,6.14
1977-03-04,6.11
1977-03-11,6.12
1977-03-18,6.08
1977-03-25,6.06
1977-04-01,6.05
1977-04-08,6.03
1977-04-15,5.88
1977-04-22,5.91
1977-04-29,6.04
1977-05-06,6.16
1977-05-13,6.29
1977-05-20,6.31
1977-05-27,6.27
1977-06-03,6.20
1977-06-10,6.16
1977-06-17,6.11
1977-06-24,6.11
1977-07-01,6.07
1977-07-08,6.15
1977-07-15,6.22
1977-07-22,6.34
1977-07-29,6.38
1977-08-05,6.52
1977-08-12,6.60
1977-08-19,6.70
1977-08-26,6.64
1977-09-02,6.56
1977-09-09,6.59
1977-09-16,6.73
1977-09-23,6.76
1977-09-30,6.82
1977-10-07,6.88
1977-10-14,7.14
1977-10-21,7.22
1977-10-28,7.17
1977-11-04,7.22
1977-11-11,7.16
1977-11-18,7.11
1977-11-25,7.12
1977-12-02,7.12
1977-12-09,7.15
1977-12-16,7.15
1977-12-23,7.19
1977-12-30,7.25
1978-01-06,7.26
1978-01-13,7.59
1978-01-20,7.55
1978-01-27,7.52
1978-02-03,7.47
1978-02-10,7.52
1978-02-17,7.61
1978-02-24,7.64
1978-03-03,7.59
1978-03-10,7.56
1978-03-17,7.54
1978-03-24,7.54
1978-03-31,7.65
1978-04-07,7.71
1978-04-14,7.68
1978-04-21,7.72
1978-04-28,7.87
1978-05-05,7.92
1978-05-12,7.99
1978-05-19,8.01
1978-05-26,8.09
1978-06-02,8.11
1978-06-09,8.07
1978-06-16,8.13
1978-06-23,8.36
1978-06-30,8.45
1978-07-07,8.45
1978-07-14,8.49
1978-07-21,8.50
1978-07-28,8.51
1978-08-04,8.37
1978-08-11,8.21
1978-08-18,8.41
1978-08-25,8.44
1978-09-01,8.46
1978-09-08,8.45
1978-09-15,8.45
1978-09-22,8.62
1978-09-29,8.73
1978-10-06,8.69
1978-10-13,8.70
1978-10-20,8.80
1978-10-27,8.96
1978-11-03,9.44
1978-11-10,9.48
1978-11-17,9.31
1978-11-24,9.35
1978-12-01,9.56
1978-12-08,9.50
1978-12-15,9.54
1978-12-22,9.93
1978-12-29,9.98
1979-01-05,9.93
1979-01-12,9.92
1979-01-19,9.91
1979-01-26,9.80
1979-02-02,9.62
1979-02-09,9.64
1979-02-16,9.68
1979-02-23,9.81
1979-03-02,9.89
1979-03-09,9.80
1979-03-16,9.82
1979-03-23,9.79
1979-03-30,9.72
1979-04-06,9.72
1979-04-13,9.83
1979-04-20,9.75
1979-04-27,9.80
1979-05-04,9.92
1979-05-11,9.91
1979-05-18,9.80
1979-05-25,9.63
1979-06-01,9.54
1979-06-08,9.41
1979-06-15,9.15
1979-06-22,9.25
1979-06-29,9.00
1979-07-06,8.97
1979-07-13,9.03
1979-07-20,9.13
1979-07-27,9.32
1979-08-03,9.27
1979-08-10,9.27
1979-08-17,9.38
1979-08-24,9.57
1979-08-31,9.75
1979-09-07,10.04
1979-09-14,10.06
1979-09-21,10.08
1979-09-28,10.05
1979-10-05,10.23
1979-10-12,11.24
1979-10-19,11.62
1979-10-26,12.44
1979-11-02,12.13
1979-11-09,12.15
1979-11-16,11.78
1979-11-23,12.02
1979-11-30,11.27
1979-12-07,11.24
1979-12-14,11.57
1979-12-21,11.39
1979-12-28,11.39
1980-01-04,11.39
1980-01-11,11.27
1980-01-18,11.37
1980-01-25,11.63
1980-02-01,11.86
1980-02-08,12.31
1980-02-15,12.71
1980-02-22,14.26
1980-02-29,14.70
1980-03-07,15.03
1980-03-14,14.67
1980-03-21,14.72
1980-03-28,15.16
1980-04-04,14.56
1980-04-11,13.61
1980-04-18,12.28
1980-04-25,11.44
1980-05-02,10.61
1980-05-09,9.60
1980-05-16,9.48
1980-05-23,9.21
1980-05-30,9.07
1980-06-06,9.06
1980-06-13,8.58
1980-06-20,8.49
1980-06-27,8.74
1980-07-04,8.94
1980-07-11,8.89
1980-07-18,8.95
1980-07-25,9.02
1980-08-01,9.47
1980-08-08,9.70
1980-08-15,10.06
1980-08-22,11.03
1980-08-29,11.47
1980-09-05,10.86
1980-09-12,11.19
1980-09-19,11.74
1980-09-26,12.10
1980-10-03,12.02
1980-10-10,11.56
1980-10-17,11.71
1980-10-24,12.20
1980-10-31,12.95
1980-11-07,13.39
1980-11-14,13.07
1980-11-21,13.58
1980-11-28,14.00
1980-12-05,14.21
1980-12-12,14.66
1980-12-19,14.77
1980-12-26,13.15
1981-01-02,13.00
1981-01-09,12.85
1981-01-16,13.15
1981-01-23,13.69
1981-01-30,13.39
1981-02-06,13.67
1981-02-13,14.22
1981-02-20,13.81
1981-02-27,14.02
1981-03-06,14.16
1981-03-13,13.70
1981-03-20,12.99
1981-03-27,13.54
1981-04-03,13.33
1981-04-10,13.90
1981-04-17,14.10
1981-04-24,14.45
1981-05-01,14.72
1981-05-08,15.70
1981-05-15,15.79
1981-05-22,15.50
1981-05-29,14.86
1981-06-05,14.65
1981-06-12,14.37
1981-06-19,14.36
1981-06-26,14.61
1981-07-03,14.74
1981-07-10,14.93
1981-07-17,15.02
1981-07-24,15.88
1981-07-31,15.77
1981-08-07,16.09
1981-08-14,15.97
1981-08-21,16.28
1981-08-28,16.71
1981-09-04,16.82
1981-09-11,16.77
1981-09-18,16.14
1981-09-25,16.13
1981-10-02,16.55
1981-10-09,15.69
1981-10-16,15.34
1981-10-23,15.50
1981-10-30,15.24
1981-11-06,14.15
1981-11-13,13.00
1981-11-20,12.40
1981-11-27,12.22
1981-12-04,12.61
1981-12-11,12.92
1981-12-18,13.22
1981-12-25,13.86
1982-01-01,13.88
1982-01-08,14.12
1982-01-15,14.67
1982-01-22,14.93
1982-01-29,14.55
1982-02-05,14.93
1982-02-12,15.10
1982-02-19,15.04
1982-02-26,14.32
1982-03-05,14.03
1982-03-12,14.04
1982-03-19,14.30
1982-03-26,14.18
1982-04-02,14.51
1982-04-09,14.40
1982-04-16,14.27
1982-04-23,14.09
1982-04-30,13.99
1982-05-07,13.96
1982-05-14,13.81
1982-05-21,13.71
1982-05-28,13.63
1982-06-04,13.95
1982-06-11,14.06
1982-06-18,14.60
1982-06-25,14.94
1982-07-02,14.75
1982-07-09,14.43
1982-07-16,14.00
1982-07-23,13.20
1982-07-30,13.34
1982-08-06,12.99
1982-08-13,13.01
1982-08-20,11.75
1982-08-27,11.67
1982-09-03,11.93
1982-09-10,11.90
1982-09-17,12.01
1982-09-24,11.68
1982-10-01,11.37
1982-10-08,10.95
1982-10-15,9.80
1982-10-22,9.80
1982-10-29,9.93
1982-11-05,9.68
1982-11-12,9.80
1982-11-19,9.86
1982-11-26,9.76
1982-12-03,9.89
1982-12-10,9.80
1982-12-17,9.62
1982-12-24,9.57
1982-12-31,9.52
1983-01-07,9.35
1983-01-14,9.17
1983-01-21,9.25
1983-01-28,9.49
1983-02-04,9.68
1983-02-11,9.79
1983-02-18,9.69
1983-02-25,9.38
1983-03-04,9.27
1983-03-11,9.61
1983-03-18,9.66
1983-03-25,9.83
1983-04-01,9.89
1983-04-08,9.72
1983-04-15,9.54
1983-04-22,9.57
1983-04-29,9.44
1983-05-06,9.23
1983-05-13,9.27
1983-05-20,9.54
1983-05-27,9.81
1983-06-03,9.99
1983-06-10,10.16
1983-06-17,10.08
1983-06-24,10.32
1983-07-01,10.29
1983-07-08,10.57
1983-07-15,10.71
1983-07-22,10.70
1983-07-29,10.83
1983-08-05,11.18
1983-08-12,11.34
1983-08-19,10.93
1983-08-26,10.80
1983-09-02,11.14
1983-09-09,10.95
1983-09-16,10.83
1983-09-23,10.70
1983-09-30,10.56
1983-10-07,10.49
1983-10-14,10.67
1983-10-21,10.51
1983-10-28,10.63
1983-11-04,10.65
1983-11-11,10.72
1983-11-18,10.66
1983-11-25,10.63
1983-12-02,10.69
1983-12-09,10.79
1983-12-16,10.89
1983-12-23,10.86
1983-12-30,10.85
1984-01-06,10.77
1984-01-13,10.66
1984-01-20,10.56
1984-01-27,10.63
1984-02-03,10.56
1984-02-10,10.67
1984-02-17,10.78
1984-02-24,10.94
1984-03-02,11.00
1984-03-09,11.09
1984-03-16,11.24
1984-03-23,11.52
1984-03-30,11.54
1984-04-06,11.67
1984-04-13,11.55
1984-04-20,11.69
1984-04-27,11.79
1984-05-04,11.96
1984-05-11,12.33
1984-05-18,12.50
1984-05-25,12.65
1984-06-01,12.94
1984-06-08,12.71
1984-06-15,12.83
1984-06-22,12.98
1984-06-29,13.15
1984-07-06,13.12
1984-07-13,12.97
1984-07-20,12.88
1984-07-27,12.70
1984-08-03,12.50
1984-08-10,12.38
1984-08-17,12.40
1984-08-24,12.43
1984-08-31,12.55
1984-09-07,12.55
1984-09-14,12.24
1984-09-21,12.04
1984-09-28,12.06
1984-10-05,12.03
1984-10-12,11.82
1984-10-19,11.63
1984-10-26,11.22
1984-11-02,11.08
1984-11-09,10.84
1984-11-16,10.82
1984-11-23,10.49
1984-11-30,10.37
1984-12-07,10.47
1984-12-14,10.36
1984-12-21,9.94
1984-12-28,9.94
1985-01-04,10.05
1985-01-11,10.01
1985-01-18,9.99
1985-01-25,9.79
1985-02-01,9.86
1985-02-08,10.03
1985-02-15,10.02
1985-02-22,10.19
1985-03-01,10.53
1985-03-08,10.73
1985-03-15,10.73
1985-03-22,10.81
1985-03-29,10.59
1985-04-05,10.49
1985-04-12,10.29
1985-04-19,9.88
1985-04-26,9.84
1985-05-03,9.85
1985-05-10,9.68
1985-05-17,9.44
1985-05-24,9.13
1985-05-31,9.01
1985-06-07,8.63
1985-06-14,8.72
1985-06-21,8.55
1985-06-28,8.85
1985-07-05,8.59
1985-07-12,8.62
1985-07-19,8.73
1985-07-26,8.97
1985-08-02,9.05
1985-08-09,9.06
1985-08-16,8.95
1985-08-23,8.85
1985-08-30,8.86
1985-09-06,8.97
1985-09-13,9.11
1985-09-20,9.05
1985-09-27,8.79
1985-10-04,8.85
1985-10-11,8.96
1985-10-18,8.87
1985-10-25,8.85
1985-11-01,8.76
1985-11-08,8.66
1985-11-15,8.60
1985-11-22,8.52
1985-11-29,8.51
1985-12-06,8.50
1985-12-13,8.12
1985-12-20,8.00
1985-12-27,8.00
1986-01-03,8.01
1986-01-10,8.15
1986-01-17,8.27
1986-01-24,8.17
1986-01-31,8.03
1986-02-07,8.01
1986-02-14,8.05
1986-02-21,8.00
1986-02-28,7.81
1986-03-07,7.43
1986-03-14,7.17
1986-03-21,7.20
1986-03-28,7.10
